fid,School ID,School Name,Division / Province,Municipality / City,School Classification,Latitude,Longitude,Fault_fid,Fault_School ID,Fault_School Name,Fault_Division / Province,Fault_Municipality / City,Fault_School Classification,Fault_Latitude,Fault_Longitude,Fault_HubName,Fault_HubDist,River_HubName,River_HubDist
1,405320,Assumption Academy of Compostela,Davao de Oro,Compostela ,Private,7.669561,126.086094,1,405320,Assumption Academy of Compostela,Davao de Oro,Compostela ,Private,7.669561,126.086094,EOS_AF1783,75442.6521726315,Upper Agusan River,12456.3135019451
2,405321,Compostela Christian School,Davao de Oro,Campostela,Private,7.671187,126.081687,2,405321,Compostela Christian School,Davao de Oro,Campostela,Private,7.671187,126.081687,EOS_AF1783,75098.1405446035,Upper Agusan River,12580.4402255703
3,405335,Assumption College of Nabunturan,Davao de Oro,Nabunturan,Private,7.599191,125.96323,3,405335,Assumption College of Nabunturan,Davao de Oro,Nabunturan,Private,7.599191,125.96323,EOS_AF1783,79237.2434463818,Mawab River,4990.08643157964
4,405333,Casa Amazing Grace School,Davao de Oro,Monkayo,Private,7.821652,126.051504,4,405333,Casa Amazing Grace School,Davao de Oro,Monkayo,Private,7.821652,126.051504,EOS_AF1783,58452.7431271666,,6127.34111615127
5,405334,Montevista Christian Vision School,Davao de Oro,Montevista,Private,7.732949,125.9472434,5,405334,Montevista Christian Vision School,Davao de Oro,Montevista,Private,7.732949,125.9472434,EOS_AF1783,64373.0808425323,,1089.76647140121
6,405340,Maryknoll High School of Asuncion,Davao del Norte,Asuncion,Private,7.541791,125.75232,6,405340,Maryknoll High School of Asuncion,Davao del Norte,Asuncion,Private,7.541791,125.75232,EOS_AF1783,84809.0559114408,Ilog River,2252.18206025694
7,405341,Mt. Carmel Academy,Davao del Norte,Carmen,Private,7.360087,125.704975,7,405341,Mt. Carmel Academy,Davao del Norte,Carmen,Private,7.360087,125.704975,EOS_AF1783,105393.331804691,Ising River,669.013448375251
8,405342,"Kapalong College of Technology, Inc.",Davao del Norte,Kapalong,Private,7.589043,125.707512,8,405342,"Kapalong College of Technology, Inc.",Davao del Norte,Kapalong,Private,7.589043,125.707512,EOS_AF1783,80332.1458441336,Libuganon River,10948.9997080443
9,405349,Davao Winchester College,Davao del Norte,Santo Tomas,Private,7.536416,125.623739,9,405349,Davao Winchester College,Davao del Norte,Santo Tomas,Private,7.536416,125.623739,EOS_AF1783,88051.4939779605,Balagunan River,5420.61573157292
10,464511,"Holy Infant School of Sto. Tomas, Inc.",Davao del Norte,Santo Tomas,Private,7.514572,125.620943,10,464511,"Holy Infant School of Sto. Tomas, Inc.",Davao del Norte,Santo Tomas,Private,7.514572,125.620943,EOS_AF1783,90463.5360663249,Panaga River,5051.13720949477
11,405390,Holy Cross of Bansalan College,Davao del Sur,Bansalan,Private,6.853669,125.203744,11,405390,Holy Cross of Bansalan College,Davao del Sur,Bansalan,Private,6.853669,125.203744,PHL_46,26276.058068885,Matanao River,621.20986950125
12,405431,Assumption College of Davao (main),Davao del Sur,Davao City ,Private,7.087999,125.623929,12,405431,Assumption College of Davao (main),Davao del Sur,Davao City ,Private,7.087999,125.623929,EOS_AF1783,136505.136319633,Davao River,3140.42933744847
13,405393,"Holy Cross of Hagonoy, Inc.",Davao del Sur,Hagonoy,Private,6.687144,125.299813,13,405393,"Holy Cross of Hagonoy, Inc.",Davao del Sur,Hagonoy,Private,6.687144,125.299813,EOS_AF1783,188339.754549789,Padada River,5319.32890855426
